#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2018-01-01,10,7,28,7,9,9,10.6,77,9.375,1010,63.125,10,5,4,116,176,353,météo défavorable
2018-01-02,8,6,19,6,7,6,2.5,84,9.75,1018,72.375,8,9,3,116,122,296,météo très défavorable
2018-01-03,14,10,40,13,10,9,10.8,56,7.875,1010,93.125,14,10,6,353,176,353,météo défavorable
2018-01-04,14,13,28,11,14,13,27,87,7.625,1008,98.125,14,11,11,302,302,296,météo très défavorable
2018-01-05,11,10,19,11,11,10,0.5,82,10,1002,78.125,11,8,8,176,353,119,météo défavorable
2018-01-06,9,7,5,7,7,7,0.7,85,8.375,1011,96.875,9,5,6,122,176,266,météo défavorable
2018-01-07,8,6,23,6,7,8,5.4,80,8.375,1019,99.125,8,4,2,266,296,176,météo très défavorable
2018-01-08,8,5,15,5,7,8,0.2,84,10,1019,80.75,8,5,2,176,122,122,météo très défavorable
2018-01-09,8,5,13,5,7,8,0.3,91,9.375,1014,80.25,8,6,4,119,116,122,météo très défavorable
2018-01-10,9,7,13,7,8,8,3.6,89,8.75,1010,79.625,9,6,5,263,176,176,météo défavorable
2018-01-11,7,6,5,6,6,7,6.1,94,5.75,1022,84.375,7,6,5,143,296,263,météo très défavorable
2018-01-12,8,4,6,4,6,7,0,92,10,1026,57,8,4,3,116,116,116,météo très défavorable
2018-01-13,7,4,12,4,5,6,0,92,8,1025,66.125,7,4,2,143,119,119,météo très défavorable
2018-01-14,7,3,5,3,5,7,0,88,10,1019,58.75,7,3,2,122,116,116,météo très défavorable
2018-01-15,8,5,34,4,6,6,11,84,9.375,1019,70.875,8,7,1,116,122,302,météo très défavorable
2018-01-16,10,9,32,10,10,8,13.1,70,9.25,1004,86,10,6,5,353,353,353,météo défavorable
2018-01-17,7,5,28,6,7,7,4.7,52,9.5,1017,75.75,7,0,1,353,176,353,météo très défavorable
2018-01-18,11,10,28,10,11,10,5,80,9.375,1015,84.25,11,8,8,302,296,176,météo défavorable
2018-01-19,8,5,18,5,7,7,0.7,78,9.875,1015,60.75,8,2,2,116,176,176,météo très défavorable
2018-01-20,9,6,20,5,7,9,3.4,89,9.625,1016,88.375,9,7,2,176,302,176,météo défavorable
2018-01-21,8,6,15,7,6,4,9.3,88,7.625,1017,97.75,8,9,3,176,266,302,météo très défavorable
2018-01-22,12,10,17,12,10,10,12.4,95,6.875,1021,82.875,12,11,8,266,302,176,météo défavorable
2018-01-23,11,7,17,7,8,11,0.2,90,10,1024,71.625,11,10,4,116,116,176,météo défavorable
2018-01-24,11,11,24,11,11,10,0.4,86,10,1023,97.25,12,10,8,176,176,176,météo défavorable
2018-01-25,11,10,13,10,10,9,2.5,82,8.75,1015,82.5,11,9,8,296,293,266,météo défavorable
2018-01-26,9,6,8,6,7,9,0,83,10,1026,33.875,9,6,4,116,116,116,météo défavorable
2018-01-27,9,5,11,5,7,8,0,89,10,1034,26.625,9,5,5,116,116,116,météo très défavorable
2018-01-28,11,8,13,7,9,11,0.5,91,7.375,1037,93.25,11,10,5,266,176,176,météo défavorable
2018-01-29,12,9,15,9,11,11,0.1,89,9.625,1037,91.625,12,9,7,122,122,176,météo défavorable
2018-01-30,10,9,10,9,9,10,0.6,92,8.375,1032,88.875,10,8,8,176,176,353,météo défavorable
2018-01-31,10,9,29,9,9,9,21.2,83,7.25,1024,93.125,10,8,6,266,296,308,météo très défavorable
2018-02-01,8,4,19,4,7,7,1.5,78,9.875,1008,63.25,8,1,0,116,353,116,météo très défavorable
2018-02-02,7,4,17,4,6,6,2.1,77,9.75,1011,55.75,7,2,1,353,116,353,météo très défavorable
2018-02-03,5,3,13,3,4,5,1.8,81,7.75,1012,81.875,5,2,1,119,122,266,météo très défavorable
2018-02-04,4,3,22,4,3,3,4.9,83,8,1023,69.875,4,2,-2,317,338,113,météo très défavorable
2018-02-05,4,-1,16,-1,1,3,0.7,74,8.125,1024,62.125,4,0,-5,116,326,119,météo très défavorable
2018-02-06,2,0,16,1,1,1,11.2,92,2,1017,100,2,0,-4,338,338,338,météo très défavorable
2018-02-07,1,-2,17,-2,-1,-1,15.4,90,4.625,1020,90.25,1,0,-8,338,338,326,météo très défavorable
2018-02-08,2,-3,5,-5,0,1,0,94,9,1022,21.5,2,1,-4,116,116,143,météo très défavorable
2018-02-09,1,-2,18,-3,0,1,7,98,6.625,1019,66.375,1,1,-7,116,338,317,météo très défavorable
2018-02-10,2,0,14,-2,1,1,0.5,97,6,1021,52,2,1,-3,323,116,143,météo très défavorable
2018-02-11,7,5,15,4,6,6,9.9,94,10.875,1012,75.875,7,4,1,296,176,176,météo très défavorable
2018-02-12,6,2,10,1,5,5,0.5,75,11.125,1019,31.625,6,0,-1,116,116,182,météo très défavorable
